SpoonWood03
0.0,11,0	Avatar/NVRPlayer/Head	Avatar/NVRPlayer/LeftHand	Avatar/NVRPlayer/RightHand	CookingEnvironment(Clone)/PanFrying	CookingEnvironment(Clone)/SpoonBig	CookingEnvironment(Clone)/SpoonWood03	CookingEnvironment(Clone)/Pan02	CookingEnvironment(Clone)/bowl	CookingEnvironment(Clone)/Wisp	CookingEnvironment(Clone)/chopsticks_C	CookingEnvironment(Clone)/spoon_B	CookingEnvironment(Clone)/ricebowl_A_c02
0.2654,11,1	-6.5802,1.6321,4.5571,356.2311,350.8549,2.1709	-6.7897,0.7766,5.0495,76.0064,315.1879,304.3756	-6.4664,1.0864,4.7411,23.3294,355.9363,17.2657	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4498,1.0763,4.7131,343.8559,348.6837,64.6653	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.2885,11,1	-6.5801,1.6321,4.5571,356.2125,350.8748,2.0383	-6.7897,0.7766,5.0495,76.0063,315.1875,304.3749	-6.4817,1.0885,4.735,24.6282,349.704,12.4565	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4652,1.0782,4.7076,344.641,344.9356,60.5819	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.3108,11,1	-6.5799,1.6322,4.5571,356.1884,350.8719,1.9684	-6.7897,0.7766,5.0495,76.0071,315.1884,304.3768	-6.4948,1.0907,4.7286,25.5628,344.2957,9.3468	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4775,1.0805,4.7019,345.2982,341.42,57.1181	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.3329,11,1	-6.5798,1.6322,4.5571,356.1969,350.8721,1.9082	-6.7897,0.7766,5.0495,76.0075,315.1893,304.3771	-6.5063,1.0932,4.7202,25.729,337.3316,8.635	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4838,1.0825,4.6965,345.6481,336.299,55.1668	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.3556,11,1	-6.5796,1.6322,4.5571,356.2533,350.8641,1.7743	-6.7897,0.7766,5.0495,76.0094,315.1913,304.3792	-6.5137,1.0967,4.7127,25.6128,331.1426,6.6543	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4897,1.0852,4.691,345.6554,331.2943,53.2904	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.3772,11,1	-6.5795,1.6321,4.5572,356.2466,350.856,1.731	-6.7897,0.7766,5.0495,76.0101,315.1901,304.3765	-6.5163,1.1007,4.7083,25.3077,327.4822,3.5426	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4953,1.0885,4.6857,345.3995,328.1064,50.8529	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.4016,11,1	-6.5795,1.6321,4.5572,356.2592,350.8267,1.6643	-6.7897,0.7766,5.0495,76.012,315.1875,304.3745	-6.5144,1.1043,4.7077,24.9081,327.4854,1.5239	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4984,1.0917,4.6823,344.9993,327.4538,48.7149	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.4224,11,1	-6.5795,1.6321,4.5572,356.259,350.8094,1.6492	-6.7897,0.7766,5.0495,76.0134,315.1884,304.3757	-6.5117,1.1076,4.7075,24.1316,327.6465,0.1377	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4982,1.0943,4.6808,344.3765,327.7047,47.0344	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.4443,11,1	-6.5795,1.6321,4.5572,356.2371,350.73,1.5963	-6.7897,0.7766,5.0495,76.0144,315.1857,304.3733	-6.5066,1.1103,4.7074,23.6683,326.759,358.3681	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4939,1.0971,4.6805,343.8551,327.9381,45.3375	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.4663,11,1	-6.5795,1.6321,4.5572,356.195,350.6852,1.5276	-6.7897,0.7766,5.0495,76.0159,315.1802,304.3687	-6.4987,1.112,4.7101,23.3871,328.5769,357.762	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.489,1.099,4.6814,343.4659,329.2332,44.2449	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.4888,11,1	-6.5794,1.6322,4.5571,356.1794,350.6553,1.4478	-6.7897,0.7766,5.0495,76.0159,315.1784,304.3668	-6.4883,1.1119,4.7156,23.2293,333.7449,358.7582	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4838,1.0992,4.6842,343.1973,332.2481,44.2637	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.5118,11,1	-6.5794,1.6322,4.5571,356.2003,350.6455,1.3541	-6.7897,0.7766,5.0495,76.0184,315.1808,304.3691	-6.4755,1.1094,4.721,24.3123,339.0593,0.3332	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4747,1.0987,4.688,343.6805,335.8918,45.0571	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.5335,11,1	-6.5793,1.6322,4.5571,356.1932,350.6321,1.3152	-6.7897,0.7766,5.0495,76.018,315.1733,304.3611	-6.4633,1.1057,4.724,25.3752,343.0057,3.729	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4619,1.0964,4.6916,344.5257,338.3993,47.1201	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.5555,11,1	-6.5792,1.6322,4.5572,356.1996,350.6541,1.2784	-6.7897,0.7766,5.0495,76.0188,315.1692,304.3567	-6.4505,1.1019,4.7267,25.911,347.7793,8.4928	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4492,1.093,4.6945,345.3642,340.3907,50.4213	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.578,11,1	-6.5792,1.6322,4.5572,356.1833,350.6541,1.2829	-6.7897,0.7766,5.0495,76.0206,315.1692,304.3556	-6.4362,1.0993,4.732,26.7479,353.5159,10.922	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4391,1.091,4.6986,346.3385,343.5694,53.023	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.6002,11,1	-6.5792,1.6322,4.5571,356.1496,350.6888,1.2975	-6.7897,0.7766,5.0495,76.0199,315.1694,304.3553	-6.4207,1.0979,4.7385,27.2106,0.2919,12.0582	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4299,1.0895,4.7044,347.0977,348.3127,54.6971	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.6222,11,1	-6.5791,1.6322,4.5571,356.0717,350.7396,1.3341	-6.7897,0.7766,5.0495,76.0218,315.1654,304.3518	-6.4054,1.0965,4.741,26.4818,6.7073,16.0386	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4163,1.0871,4.7082,347.385,352.5123,57.5003	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.6446,11,1	-6.5791,1.6323,4.557,355.9981,350.764,1.3665	-6.7897,0.7766,5.0495,76.0231,315.1624,304.3485	-6.3924,1.0945,4.7415,24.1489,12.7537,23.9884	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4005,1.0836,4.7101,347.1811,354.9092,62.9928	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
