SpoonWood03
0.0,11,0	Avatar/NVRPlayer/Head	Avatar/NVRPlayer/LeftHand	Avatar/NVRPlayer/RightHand	CookingEnvironment(Clone)/PanFrying	CookingEnvironment(Clone)/SpoonBig	CookingEnvironment(Clone)/SpoonWood03	CookingEnvironment(Clone)/Pan02	CookingEnvironment(Clone)/bowl	CookingEnvironment(Clone)/Wisp	CookingEnvironment(Clone)/chopsticks_C	CookingEnvironment(Clone)/spoon_B	CookingEnvironment(Clone)/ricebowl_A_c02
0.669,11,1	-6.5791,1.6324,4.5569,355.9113,350.7776,1.3944	-6.7897,0.7766,5.0495,76.0237,315.1613,304.3463	-6.3783,1.0935,4.7433,19.976,20.5832,32.1535	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3876,1.0801,4.7127,346.2838,357.4633,70.1961	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.7104,11,1	-6.5791,1.6326,4.5567,355.7598,350.7902,1.433	-6.7897,0.7766,5.0495,76.0265,315.1642,304.3488	-6.3511,1.093,4.7438,13.1247,32.4143,42.5476	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3621,1.0778,4.7149,344.101,3.2142,83.0746	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.7331,11,1	-6.5791,1.6327,4.5566,355.6826,350.8426,1.4522	-6.7897,0.7766,5.0495,76.0273,315.1599,304.3434	-6.3413,1.0912,4.7419,9.5055,35.7523,50.4737	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3482,1.0776,4.7127,343.96,3.8272,90.8021	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.7554,11,1	-6.5791,1.6328,4.5565,355.6402,350.8525,1.4861	-6.7897,0.7766,5.0495,76.0298,315.1569,304.3383	-6.3311,1.092,4.7415,4.7287,39.7599,55.4626	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3387,1.0764,4.7128,343.1775,4.8711,98.1525	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.778,11,1	-6.5791,1.6329,4.5564,355.5286,350.929,1.5417	-6.7897,0.7766,5.0495,76.0321,315.155,304.3367	-6.3213,1.0943,4.7407,359.6404,44.5715,58.0136	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3317,1.0754,4.7138,341.3722,7.0418,104.3601	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.8007,11,1	-6.579,1.633,4.5563,355.4318,351.001,1.604	-6.7897,0.7766,5.0495,76.0333,315.1508,304.3326	-6.3171,1.0941,4.7385,355.8255,45.3419,62.8935	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3229,1.0764,4.711,340.412,7.251,110.7697	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.8229,11,1	-6.579,1.6331,4.5562,355.4131,351.0766,1.5838	-6.7897,0.7766,5.0495,76.034,315.1445,304.3264	-6.3174,1.0924,4.7371,354.42,43.3723,67.4962	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3176,1.0781,4.7079,340.8575,5.5459,116.2954	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.8447,11,1	-6.5789,1.6332,4.5562,355.3943,351.1523,1.5715	-6.7897,0.7766,5.0495,76.0382,315.1418,304.3235	-6.3194,1.0939,4.7371,356.4872,43.9777,63.9317	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3229,1.0783,4.7084,340.7697,5.79,116.4327	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.8668,11,1	-6.5788,1.6332,4.5561,355.3742,351.2816,1.5085	-6.7897,0.7766,5.0495,76.0388,315.142,304.3232	-6.324,1.0966,4.7374,359.7905,44.2343,56.8325	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3312,1.0785,4.7101,339.7961,7.4319,112.1224	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.8894,11,1	-6.5786,1.6332,4.5561,355.3389,351.3906,1.5027	-6.7897,0.7766,5.0495,76.0402,315.1302,304.3109	-6.3331,1.0949,4.7378,2.6848,41.6098,55.6305	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3366,1.0803,4.7089,340.333,7.3056,108.7366	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.9124,11,1	-6.5784,1.6333,4.5561,355.3665,351.4793,1.4845	-6.7897,0.7766,5.0495,76.0419,315.1292,304.3096	-6.3445,1.0925,4.7385,4.8489,37.8507,55.7616	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3429,1.0804,4.7083,341.6022,5.3966,106.6667	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.9349,11,1	-6.5782,1.6333,4.5562,355.4056,351.5374,1.4644	-6.7897,0.7766,5.0495,76.0424,315.1293,304.3087	-6.3585,1.0907,4.7391,7.8493,32.8552,54.0305	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3526,1.0797,4.7083,343.0339,2.4476,104.0133	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.9569,11,1	-6.5781,1.6332,4.5563,355.4644,351.6196,1.4588	-6.7897,0.7766,5.0495,76.0446,315.1252,304.3044	-6.3743,1.0897,4.7389,12.2093,27.4194,49.8019	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3663,1.0797,4.7082,344.5307,359.4722,99.6094	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.9786,11,1	-6.578,1.6331,4.5564,355.5182,351.6906,1.4443	-6.7897,0.7766,5.0495,76.0464,315.1202,304.2993	-6.3897,1.0904,4.7383,16.8018,21.5139,42.6868	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3817,1.0802,4.7079,345.6276,357.0299,92.9258	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.0005,11,1	-6.5779,1.6331,4.5565,355.5449,351.7089,1.4119	-6.7897,0.7766,5.0495,76.0478,315.1136,304.292	-6.4049,1.0938,4.7372,20.8608,14.8459,32.2379	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3986,1.0821,4.7071,345.9554,355.5519,83.9338	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.0226,11,1	-6.5778,1.633,4.5565,355.5691,351.7676,1.4042	-6.7897,0.7766,5.0495,76.0497,315.1164,304.2955	-6.4199,1.098,4.7353,23.1678,7.2248,22.9111	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4128,1.0854,4.7056,345.8805,353.8297,74.9011	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.0448,11,1	-6.5777,1.633,4.5565,355.5718,351.7884,1.3897	-6.7897,0.7766,5.0495,76.0506,315.109,304.287	-6.4334,1.103,4.7327,23.9026,0.2588,16.1397	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4245,1.0897,4.7036,345.5128,351.59,67.3554	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.0674,11,1	-6.5777,1.633,4.5565,355.5413,351.8029,1.3569	-6.7897,0.7766,5.0495,76.0523,315.1124,304.291	-6.4438,1.1089,4.7302,23.1201,356.1878,12.1963	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4352,1.094,4.7016,344.563,349.7173,61.9443	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.0895,11,1	-6.5776,1.6331,4.5565,355.5146,351.8006,1.3067	-6.7897,0.7766,5.0495,76.0531,315.1095,304.2883	-6.4525,1.1134,4.728,22.8432,353.3728,10.2114	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4438,1.0987,4.6996,343.8401,348.0746,58.5217	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.1113,11,1	-6.5775,1.6331,4.5565,355.4933,351.8033,1.2496	-6.7897,0.7766,5.0495,76.0538,315.1064,304.2848	-6.4609,1.1179,4.7251,22.2855,349.567,8.0526	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4506,1.1029,4.6973,343.093,346.0456,55.8056	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.1336,11,1	-6.5775,1.6331,4.5564,355.4683,351.7931,1.1971	-6.7897,0.7766,5.0495,76.0551,315.0992,304.2772	-6.4683,1.1223,4.7214,22.0408,344.313,4.6574	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4559,1.1075,4.6943,342.5239,343.4902,52.7586	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.1559,11,1	-6.5774,1.6332,4.5564,355.4356,351.7873,1.1428	-6.7897,0.7766,5.0495,76.0567,315.0997,304.2785	-6.4725,1.1258,4.7184,21.9971,340.7849,2.3122	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4601,1.1115,4.6914,342.1816,341.2896,50.1074	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.1783,11,1	-6.5774,1.6332,4.5564,355.4141,351.7706,1.098	-6.7897,0.7766,5.0495,76.0566,315.0912,304.2694	-6.4733,1.1275,4.7176,22.5892,340.397,1.5536	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4633,1.1146,4.6894,342.3051,340.3793,48.4802	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.2008,11,1	-6.5773,1.6332,4.5564,355.3948,351.7661,1.0545	-6.7897,0.7766,5.0495,76.058,315.0854,304.2635	-6.4722,1.1281,4.7175,22.771,341.0608,2.2512	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4636,1.1156,4.6887,342.4427,340.0583,48.0836	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.2229,11,1	-6.5772,1.6333,4.5563,355.3661,351.7549,1.0196	-6.7897,0.7766,5.0495,76.0609,315.0847,304.2628	-6.4691,1.1285,4.7172,23.029,340.3635,1.898	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4606,1.1163,4.6884,342.6316,339.6419,47.676	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.2457,11,1	-6.5772,1.6333,4.5563,355.338,351.7435,1.0099	-6.7897,0.7766,5.0495,76.0605,315.0778,304.2552	-6.4624,1.1288,4.7182,23.3793,340.1403,0.1665	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.456,1.117,4.6886,342.888,339.9608,46.5463	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.2669,11,1	-6.5773,1.6333,4.5562,355.3048,351.6974,1.0148	-6.7897,0.7766,5.0495,76.0616,315.078,304.255	-6.4534,1.1294,4.7224,22.856,343.9021,359.5207	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4529,1.1167,4.6911,342.6962,342.3813,45.6889	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.2889,11,1	-6.5773,1.6334,4.5562,355.2326,351.6096,1.0617	-6.7897,0.7766,5.0495,76.0632,315.0758,304.252	-6.4408,1.1278,4.728,23.0461,350.3937,0.5674	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4471,1.1158,4.6953,342.7129,346.5938,45.805	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.3126,11,1	-6.5774,1.6334,4.5561,355.1261,351.5105,1.0961	-6.7897,0.7766,5.0495,76.064,315.0726,304.2486	-6.4301,1.1243,4.7296,23.8218,353.2119,3.9505	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4337,1.1135,4.6978,343.2296,348.7418,47.6309	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.3333,11,1	-6.5775,1.6335,4.556,355.0729,351.4254,1.1028	-6.7897,0.7766,5.0495,76.0651,315.0674,304.2421	-6.4171,1.1214,4.7331,23.1611,359.3058,8.798	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4229,1.1097,4.7014,343.3214,351.1735,50.9378	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.3552,11,1	-6.5776,1.6336,4.5558,354.9556,351.2224,1.1481	-6.7897,0.7766,5.0495,76.0674,315.07,304.2444	-6.4002,1.1197,4.7394,22.3135,9.5692,11.9854	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4157,1.107,4.7077,343.1432,356.6991,54.1727	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.378,11,1	-6.5778,1.6337,4.5557,354.9291,351.2022,1.1394	-6.7897,0.7766,5.0495,76.0681,315.0688,304.2433	-6.383,1.1186,4.7433,22.3756,18.4113,13.3328	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4053,1.1062,4.7135,343.1988,3.5908,56.293	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.3995,11,1	-6.5779,1.6338,4.5556,354.8728,351.1484,1.1368	-6.7897,0.7766,5.0495,76.0681,315.0695,304.2429	-6.3699,1.1178,4.743,22.3134,22.2239,15.0244	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3898,1.1055,4.7148,343.2919,8.122,58.1283	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.4218,11,1	-6.578,1.6339,4.5555,354.862,351.1118,1.1375	-6.7897,0.7766,5.0495,76.0691,315.0714,304.2457	-6.3576,1.1175,4.7434,20.0488,27.962,18.8107	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3771,1.1028,4.7168,342.5219,11.8893,61.2233	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.4444,11,1	-6.5781,1.6339,4.5554,354.8635,351.0978,1.1471	-6.7897,0.7766,5.0495,76.0704,315.0747,304.2483	-6.3439,1.1178,4.745,14.2417,37.708,24.379	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3666,1.0976,4.7223,339.9443,16.7534,66.527	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.4667,11,1	-6.5781,1.6339,4.5554,354.875,351.1032,1.1628	-6.7897,0.7766,5.0495,76.0705,315.08,304.2518	-6.3323,1.1182,4.7447,7.2118,46.3107,30.2317	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3543,1.0934,4.7257,336.2374,21.1775,73.5448	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
1.4898,11,1	-6.5781,1.6339,4.5555,354.8999,351.1657,1.1971	-6.7897,0.7766,5.0495,76.0709,315.0763,304.248	-6.3294,1.1175,4.7422,4.9262,46.5004,35.2841	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3428,1.0953,4.7198,334.3394,21.3633,79.9701	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
